,Ticker,neg,neu,pos,compound
0,TUP,0.06764,0.85222,0.08013999999999999,0.019166
1,TRUP,0.03434,0.85567,0.10994,0.13816099999999998
2,KODK,0.04163,0.8655900000000001,0.09276999999999999,0.083085
3,BFAM,0.022250000000000002,0.6954899999999999,0.28225999999999996,0.466572
4,BKD,0.04002000000000001,0.8771,0.08287000000000001,0.06444200000000003
5,AEG,0.024210000000000002,0.8738499999999999,0.10194,0.10603000000000001
6,UIS,0.02024,0.88209,0.09766,0.14670599999999998
7,MOH,0.023249999999999996,0.8503899999999999,0.12636,0.167746
8,ECC,0.0199,0.83387,0.14623,0.287369
9,UGP,0.01857,0.8276899999999998,0.15376000000000004,0.223157
10,RES,0.04053,0.85174,0.10772999999999999,0.129443
11,OPK,0.03684,0.8645499999999999,0.09862,0.10623999999999999
12,BCS,0.0689,0.8415100000000001,0.08958000000000002,0.039688999999999995
13,RS,0.031129999999999994,0.8779399999999999,0.09094,0.09216300000000001
14,TFX,0.03895,0.8877000000000002,0.07332999999999999,0.071723
15,SOL,0.0166,0.88008,0.10333,0.149107
16,MCO,0.05095000000000001,0.8674199999999999,0.08163999999999999,0.06165999999999999
17,CYH,0.03957,0.8762000000000001,0.08423,0.078225
